e_min_keV,e_max_keV,e_ref_keV,dnde_per_cm2_s_keV
100.0,158.489,125.89241438625285,2.1822012030583312e-05
158.489,251.189,199.52617227070735,1.468145180570594e-05
251.189,398.107,316.22792290213715,9.004301302172013e-06
398.107,630.957,501.1869894550339,5.019684103657034e-06
630.957,1000.0,794.328017886817,2.726209475919534e-06
1000.0,1584.89,1258.9241438625288,1.5402866276269242e-06
1584.89,2511.89,1995.2617227070741,8.728640339361148e-07
2511.89,3981.07,3162.2792290213692,5.17776223080788e-07
3981.07,6309.57,5011.869894550336,2.949746778144389e-07
6309.57,10000.0,7943.280178868178,1.6238091610334288e-07
