e_min_keV,e_max_keV,e_ref_keV,dnde_per_cm2_s_keV,e2dnde_keV_per_cm2_s,injected_dnde_per_cm2_s_keV
100.0,158.489,125.89241438625285,2.7813268020274526e-05,0.44080970352652904,2.7952306105915815e-05
158.489,251.189,199.52617227070735,1.156959564676876e-05,0.46059362529844716,1.1599475956943967e-05
251.189,398.107,316.22792290213715,4.602142202872706e-06,0.46021467692562634,4.6105723352986635e-06
398.107,630.957,501.1869894550339,1.7118657918444308e-06,0.4300008265274389,1.7117048665165975e-06
630.957,1000.0,794.328017886817,5.724851570457991e-07,0.36121351723414596,5.703207745740544e-07
1000.0,1584.89,1258.9241438625288,1.6219727756865653e-07,0.2570648432457882,1.6008410625674655e-07
1584.89,2511.89,1995.2617227070741,3.962509114807905e-08,0.15775023554753564,3.424209505557777e-08
2511.89,3981.07,3162.2792290213692,1.0520870191873429e-08,0.10520880630996443,4.7613538984606896e-09
3981.07,6309.57,5011.869894550336,5.566603643801907e-10,0.01398266253808638,3.3455243108521916e-10
6309.57,10000.0,7943.280178868178,9.053863144646566e-12,0.000571259832815677,7.968355778558897e-12
